order_id,order_datetime,order_date,order_time,order_hour,order_dayofweek,day_name,is_weekend,is_holiday,kitchen_id,kitchen_name,zip_code,num_items,order_subtotal,net_payout,discount_applied,prep_time_min,delivery_time_min,total_delivery_time_min,avoidable_wait_min,confirmed_ready_time,dasher_arrival_time,pickup_time,delivery_time,order_status,rating,weather_condition,temperature_c,currency
1,2025-08-01 10:01:47,2025-08-01,10:01:47,10,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,1,10.99,9.32,False,16,22,41.13,3.13,2025-08-01 10:17:47,2025-08-01 10:19:47,2025-08-01 10:20:54.675241,2025-08-01 10:42:54.675241,Completed,3.0,Clear,28.0,USD
2,2025-08-01 10:37:27,2025-08-01,10:37:27,10,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,2,27.98,19.73,True,20,15,33.48,0.0,2025-08-01 10:57:27,2025-08-01 10:54:27,2025-08-01 10:55:56.032253,2025-08-01 11:10:56.032253,Completed,3.0,Clear,28.0,USD
3,2025-08-01 10:41:44,2025-08-01,10:41:44,10,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,3,24.47,21.38,False,18,28,50.52,4.52,2025-08-01 10:59:44,2025-08-01 11:01:44,2025-08-01 11:04:15.286442,2025-08-01 11:32:15.286442,Completed,4.0,Clear,28.0,USD
4,2025-08-01 11:10:44,2025-08-01,11:10:44,11,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,1,5.99,4.6,True,11,25,40.2,4.2,2025-08-01 11:21:44,2025-08-01 11:24:44,2025-08-01 11:25:55.979465,2025-08-01 11:50:55.979465,Cancelled,,Clear,28.0,USD
5,2025-08-01 11:06:22,2025-08-01,11:06:22,11,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,2,24.98,20.16,False,23,26,56.13,7.13,2025-08-01 11:29:22,2025-08-01 11:32:22,2025-08-01 11:36:29.924634,2025-08-01 12:02:29.924634,Completed,5.0,Clear,28.0,USD
6,2025-08-01 11:24:05,2025-08-01,11:24:05,11,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,1,14.99,10.63,False,24,24,57.1,9.1,2025-08-01 11:48:05,2025-08-01 11:54:05,2025-08-01 11:57:10.885079,2025-08-01 12:21:10.885079,Completed,4.0,Clear,28.0,USD
7,2025-08-01 11:18:05,2025-08-01,11:18:05,11,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,1,9.99,8.66,True,20,22,42.21,0.21,2025-08-01 11:38:05,2025-08-01 11:36:05,2025-08-01 11:38:17.634081,2025-08-01 12:00:17.634081,Completed,5.0,Clear,28.0,USD
8,2025-08-01 12:22:13,2025-08-01,12:22:13,12,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,1,10.99,9.3,True,19,23,42.24,0.24,2025-08-01 12:41:13,2025-08-01 12:38:13,2025-08-01 12:41:27.465372,2025-08-01 13:04:27.465372,Completed,5.0,Clear,28.0,USD
9,2025-08-01 12:24:17,2025-08-01,12:24:17,12,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,1,9.99,8.54,False,19,37,61.58,5.58,2025-08-01 12:43:17,2025-08-01 12:45:17,2025-08-01 12:48:51.845848,2025-08-01 13:25:51.845848,Completed,4.0,Clear,28.0,USD
10,2025-08-01 12:02:51,2025-08-01,12:02:51,12,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,2,22.98,18.69,False,19,27,49.8,3.8,2025-08-01 12:21:51,2025-08-01 12:24:51,2025-08-01 12:25:38.870923,2025-08-01 12:52:38.870923,Completed,5.0,Clear,28.0,USD
11,2025-08-01 13:13:41,2025-08-01,13:13:41,13,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,1,6.99,5.93,False,13,27,50.14,10.14,2025-08-01 13:26:41,2025-08-01 13:35:41,2025-08-01 13:36:49.575329,2025-08-01 14:03:49.575329,Completed,4.0,Clear,28.0,USD
12,2025-08-01 13:47:37,2025-08-01,13:47:37,13,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,1,8.99,6.54,False,15,43,67.13,9.13,2025-08-01 14:02:37,2025-08-01 14:09:37,2025-08-01 14:11:44.739040,2025-08-01 14:54:44.739040,Cancelled,,Clear,28.0,USD
13,2025-08-01 13:48:03,2025-08-01,13:48:03,13,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,1,8.99,7.05,True,18,18,38.32,2.32,2025-08-01 14:06:03,2025-08-01 14:05:03,2025-08-01 14:08:22.410431,2025-08-01 14:26:22.410431,Completed,5.0,Clear,28.0,USD
14,2025-08-01 13:24:38,2025-08-01,13:24:38,13,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,1,4.49,3.15,False,8,31,46.87,7.87,2025-08-01 13:32:38,2025-08-01 13:35:38,2025-08-01 13:40:30.191162,2025-08-01 14:11:30.191162,Completed,3.0,Clear,28.0,USD
15,2025-08-01 13:43:56,2025-08-01,13:43:56,13,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,3,22.47,17.05,True,18,39,63.96,6.96,2025-08-01 14:01:56,2025-08-01 14:04:56,2025-08-01 14:08:53.521658,2025-08-01 14:47:53.521658,Completed,5.0,Clear,28.0,USD
16,2025-08-01 13:00:46,2025-08-01,13:00:46,13,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,2,17.48,14.42,False,23,23,48.78,2.78,2025-08-01 13:23:46,2025-08-01 13:23:46,2025-08-01 13:26:33.074052,2025-08-01 13:49:33.074052,Completed,3.0,Clear,28.0,USD
17,2025-08-01 13:32:38,2025-08-01,13:32:38,13,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,1,10.99,9.4,False,15,19,43.93,9.93,2025-08-01 13:47:38,2025-08-01 13:53:38,2025-08-01 13:57:33.877916,2025-08-01 14:16:33.877916,Completed,5.0,Clear,28.0,USD
18,2025-08-01 14:00:38,2025-08-01,14:00:38,14,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,1,8.99,8.06,False,14,30,40.0,0.0,2025-08-01 14:14:38,2025-08-01 14:09:38,2025-08-01 14:10:38.204286,2025-08-01 14:40:38.204286,Completed,5.0,Clear,28.0,USD
19,2025-08-01 14:15:03,2025-08-01,14:15:03,14,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,2,18.98,13.55,False,18,43,58.89,0.0,2025-08-01 14:33:03,2025-08-01 14:30:03,2025-08-01 14:30:56.126432,2025-08-01 15:13:56.126432,Completed,4.0,Clear,28.0,USD
20,2025-08-01 15:49:08,2025-08-01,15:49:08,15,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,1,13.99,11.27,False,18,36,68.76,14.76,2025-08-01 16:07:08,2025-08-01 16:17:08,2025-08-01 16:21:53.649144,2025-08-01 16:57:53.649144,Completed,3.0,Clear,28.0,USD
21,2025-08-01 15:13:59,2025-08-01,15:13:59,15,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,1,6.99,5.83,False,14,39,57.71,4.71,2025-08-01 15:27:59,2025-08-01 15:28:59,2025-08-01 15:32:41.496223,2025-08-01 16:11:41.496223,Completed,5.0,Clear,28.0,USD
22,2025-08-01 15:57:33,2025-08-01,15:57:33,15,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,1,13.99,11.44,False,20,18,41.51,3.51,2025-08-01 16:17:33,2025-08-01 16:19:33,2025-08-01 16:21:03.668281,2025-08-01 16:39:03.668281,Completed,5.0,Clear,28.0,USD
23,2025-08-01 15:14:00,2025-08-01,15:14:00,15,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,1,5.99,5.22,True,8,37,42.53,0.0,2025-08-01 15:22:00,2025-08-01 15:18:00,2025-08-01 15:19:31.814282,2025-08-01 15:56:31.814282,Completed,5.0,Clear,28.0,USD
24,2025-08-01 16:15:17,2025-08-01,16:15:17,16,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,1,10.99,9.63,False,19,30,52.93,3.93,2025-08-01 16:34:17,2025-08-01 16:35:17,2025-08-01 16:38:12.593161,2025-08-01 17:08:12.593161,Completed,5.0,Clear,28.0,USD
25,2025-08-01 17:15:50,2025-08-01,17:15:50,17,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,2,19.48,15.32,False,23,40,72.36,9.36,2025-08-01 17:38:50,2025-08-01 17:46:50,2025-08-01 17:48:11.410677,2025-08-01 18:28:11.410677,Completed,5.0,Clear,28.0,USD
26,2025-08-01 17:29:55,2025-08-01,17:29:55,17,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,1,6.99,6.01,True,15,16,29.77,0.0,2025-08-01 17:44:55,2025-08-01 17:42:55,2025-08-01 17:43:41.365422,2025-08-01 17:59:41.365422,Completed,4.0,Clear,28.0,USD
27,2025-08-01 17:12:12,2025-08-01,17:12:12,17,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,1,4.49,3.37,False,9,29,39.4,1.4,2025-08-01 17:21:12,2025-08-01 17:20:12,2025-08-01 17:22:35.908043,2025-08-01 17:51:35.908043,Completed,5.0,Clear,28.0,USD
28,2025-08-01 17:28:51,2025-08-01,17:28:51,17,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,1,13.99,12.13,False,23,42,63.73,0.0,2025-08-01 17:51:51,2025-08-01 17:49:51,2025-08-01 17:50:34.658849,2025-08-01 18:32:34.658849,Cancelled,,Clear,28.0,USD
29,2025-08-01 18:59:48,2025-08-01,18:59:48,18,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,3,35.97,31.4,False,24,22,48.33,2.33,2025-08-01 19:23:48,2025-08-01 19:23:48,2025-08-01 19:26:07.731796,2025-08-01 19:48:07.731796,Completed,4.0,Clear,28.0,USD
30,2025-08-01 18:10:24,2025-08-01,18:10:24,18,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,3,32.97,24.96,False,17,27,51.67,7.67,2025-08-01 18:27:24,2025-08-01 18:30:24,2025-08-01 18:35:04.159880,2025-08-01 19:02:04.159880,Completed,4.0,Clear,28.0,USD
31,2025-08-01 19:46:50,2025-08-01,19:46:50,19,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,2,20.98,18.75,False,21,36,68.2,11.2,2025-08-01 20:07:50,2025-08-01 20:17:50,2025-08-01 20:19:01.795143,2025-08-01 20:55:01.795143,Completed,4.0,Clear,28.0,USD
32,2025-08-01 20:34:03,2025-08-01,20:34:03,20,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,2,13.48,11.91,False,17,25,38.73,0.0,2025-08-01 20:51:03,2025-08-01 20:47:03,2025-08-01 20:47:46.538431,2025-08-01 21:12:46.538431,Completed,5.0,Clear,28.0,USD
33,2025-08-01 20:03:32,2025-08-01,20:03:32,20,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,1,14.99,13.08,False,20,42,62.81,0.81,2025-08-01 20:23:32,2025-08-01 20:23:32,2025-08-01 20:24:20.500760,2025-08-01 21:06:20.500760,Completed,5.0,Clear,28.0,USD
34,2025-08-01 20:56:36,2025-08-01,20:56:36,20,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,1,6.99,5.71,False,11,33,43.29,0.0,2025-08-01 21:07:36,2025-08-01 21:03:36,2025-08-01 21:06:53.233008,2025-08-01 21:39:53.233008,Completed,5.0,Clear,28.0,USD
35,2025-08-01 20:59:16,2025-08-01,20:59:16,20,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,1,10.99,9.17,False,15,36,57.57,6.57,2025-08-01 21:14:16,2025-08-01 21:19:16,2025-08-01 21:20:50.445207,2025-08-01 21:56:50.445207,Completed,3.0,Clear,28.0,USD
36,2025-08-01 20:20:59,2025-08-01,20:20:59,20,4,Friday,False,False,39555939,Vel's Kitchen Indian,60642,1,12.99,10.56,True,24,44,65.54,0.0,2025-08-01 20:44:59,2025-08-01 20:41:59,2025-08-01 20:42:31.515173,2025-08-01 21:26:31.515173,Completed,3.0,Clear,28.0,USD
